Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Features
"Macklemore, Ryan Lewis",Downtown,18,18.0,2.0,2015-09-18,"August 27, 2015","Funk,Pop,Rap","Eric Nally, Melle Mel, Kool Moe Dee &"
Shawn Mendes,Stitches,19,19.0,15.0,2015-09-18,"March 15, 2015",Pop,nan
Wiz Khalifa,See You Again,20,1.0,26.0,2015-09-18,"March 9, 2015","Hip-Hop,Piano,Pop,Memorial,Soundtrack,Rap",Charlie Puth
Taylor Swift,Bad Blood,21,1.0,19.0,2015-09-18,"May 17, 2015","Electro-Hop,Electro-Pop,Rap,Pop",Kendrick Lamar
Drake,Hotline Bling,22,22.0,5.0,2015-09-18,"July 25, 2015","Hip-Hop,Rap,Producer,Pop,R&;B,Memes,Canada",nan
One Direction,Drag Me Down,23,3.0,5.0,2015-09-18,"July 31, 2015","Rock,Pop-Rock,Boy Band,UK,Pop",nan
iLoveMemphis,Hit The Quan,24,23.0,3.0,2015-09-18,"July 14, 2015",Rap,nan
Charlie Puth,Marvin Gaye,26,25.0,12.0,2015-09-18,"February 10, 2015",Pop,Meghan Trainor
Fall Out Boy,Uma Thurman,27,22.0,22.0,2015-09-18,"January 12, 2015","Electronic Rock,Electro-Pop,Electronic,Punk Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Pop,Rock",nan
Meek Mill,All Eyes On You,28,21.0,11.0,2015-09-18,"June 26, 2015","DMV,R&;B,Rap","Chris Brown, Nicki Minaj"
Fifth Harmony,Worth It,29,12.0,29.0,2015-09-18,"January 30, 2015","R&;B,Dance-Pop,Soundtrack,Girl Group,Rap,Pop",Kid Ink
Jidenna,Classic Man,30,22.0,18.0,2015-09-18,"February 3, 2015",R&;B,Roman GianArthur
Rich Homie Quan,Flex,31,26.0,20.0,2015-09-18,"February 9, 2015",Rap,nan
Jason Derulo,Want To Want Me,32,5.0,26.0,2015-09-18,"March 9, 2015","Pop,R&;B",nan
Sam Hunt,House Party,33,26.0,14.0,2015-09-18,"October 27, 2014",Country,nan
Ed Sheeran,Thinking Out Loud,34,2.0,48.0,2015-09-18,"June 23, 2014","Soul,UK,Pop",nan
Andy Grammer,"Honey, I'm Good.",35,9.0,28.0,2015-09-18,"August 5, 2014","Rock,Pop",nan
Maroon 5,Sugar,36,2.0,34.0,2015-09-18,"January 13, 2015","Adult Alternative,Adult Contemporary,Pop-Rock,Rock,Pop",nan
Omarion,Post To Be,38,13.0,35.0,2015-09-18,"November 11, 2014","DMV,West Coast,Rap,Memes,R&;B","Chris Brown, Jhene Aiko"
Drake,Back To Back,39,21.0,5.0,2015-09-18,"July 29, 2015","Canada,Producer,Trap,Beef,Rap",nan
X Ambassadors,Renegades,40,36.0,21.0,2015-09-18,"March 3, 2015","Pop,Adult Contemporary,Adult Alternative,Alternative Rock,Pop-Rock,Indie Rock,Rock",nan
Keith Urban,"John Cougar, John Deere, John 3:16",41,41.0,13.0,2015-09-18,"June 9, 2015",Country,nan
Fetty Wap,Again,42,33.0,4.0,2015-09-18,"August 13, 2015","Trap,R&;B,Rap",nan
David Guetta,Hey Mama,43,8.0,24.0,2015-09-18,"March 16, 2015","Pop,Electronic Trap,Electronic,Rap","Nicki Minaj, Bebe Rexha, Afrojack"
Hailee Steinfeld,Love Myself,44,44.0,4.0,2015-09-18,"August 7, 2015","Dance-Pop,Electro-Pop,Soundtrack,Pop",nan
Chris Janson,Buy Me A Boat,45,41.0,15.0,2015-09-18,"October 30, 2015",Country,nan
Thomas Rhett,Crash And Burn,46,36.0,17.0,2015-09-18,"September 25, 2015","Pop,Country",nan
Luke Bryan,Strip It Down,48,48.0,5.0,2015-09-18,"July 17, 2015",Country,nan
Jeremih,Planez,49,44.0,15.0,2015-09-18,"January 27, 2015","R&;B,Rap",J. Cole
Elle King,Ex's & Oh's,50,50.0,9.0,2015-09-18,"September 23, 2014","Adult Contemporary,Adult Alternative,Blues Rock,Alternative Country,Alternative Rock,Pop-Rock,Rock,Pop",nan
Tori Kelly,Should've Been Us,51,51.0,8.0,2015-09-18,"June 2, 2015","Pop,R&;B",nan
Future,Where Ya At,52,52.0,7.0,2015-09-18,"July 17, 2015","Atlanta,Trap,Rap",Drake
Meghan Trainor,Like I'm Gonna Lose You,53,51.0,9.0,2015-09-18,"January 9, 2015",Pop,John Legend
"Calvin Harris, Disciples",How Deep Is Your Love,55,55.0,7.0,2015-09-18,"July 17, 2015","Deep House,Electronic,UK,Pop",nan
Rae Sremmurd,This Could Be Us,56,49.0,13.0,2015-09-18,"April 21, 2015",Rap,nan
Flo Rida,"I Don't Like It, I Love It",57,43.0,11.0,2015-09-18,"March 31, 2015","Pop,Rap","Robin Thicke, Verdine White"
5 Seconds Of Summer,She's Kinda Hot,58,22.0,7.0,2015-09-18,"July 17, 2015","Australia,Pop-Rock,Pop,Punk Rock,Rock",nan
Brett Eldredge,Lose My Mind,59,54.0,13.0,2015-09-18,"May 4, 2015",Country,nan
Dustin Lynch,Hell Of A Night,61,55.0,14.0,2015-09-18,"November 3, 2014",Country,nan
Kenny Chesney,Save It For A Rainy Day,63,60.0,7.0,2015-09-18,"September 23, 2014",Country,nan
Luke Bryan,Kick The Dust Up,64,26.0,16.0,2015-09-18,"May 19, 2015",Country,nan
"Nicky Jam, Enrique Iglesias",El Perdon,65,65.0,24.0,2015-09-18,"February 6, 2015","Latin Music,Latin Pop,En Espa\xc3\xb1ol,Reggaeton,Rap",nan
Alessia Cara,Here,66,62.0,5.0,2015-09-18,"April 27, 2015","Producer,Pop,R&;B",nan
Cam,Burning House,67,63.0,8.0,2015-09-18,"March 31, 2015",Country,nan
K Camp,Comfortable,68,68.0,5.0,2015-09-18,"June 9, 2015",Rap,nan
"Maddie, Tae",Fly,69,67.0,8.0,2015-09-18,"June 2, 2015",Country,nan
Nick Jonas,Levels,70,70.0,2.0,2015-09-18,"August 21, 2015",Pop,nan
Zedd,Beautiful Now,71,64.0,13.0,2015-09-18,"May 14, 2015","House,Electronic,Pop",Jon Bellion
Adam Lambert,Ghost Town,72,67.0,12.0,2015-09-18,"April 21, 2015","House,Pop-Rock,Glam Rock,Rock,Electronic,Pop",nan
Florida Georgia Line,Anything Goes,73,73.0,8.0,2015-09-18,"June 15, 2015",Country,nan
Little Mix,Black Magic,74,67.0,4.0,2015-09-18,"May 21, 2015","Dance-Pop,Girl Group,UK,Pop",nan
Old Dominion,Break Up With Him,75,75.0,9.0,2015-09-18,"January 1, 2015",Country,nan
Carrie Underwood,Smoke Break,76,43.0,2.0,2015-09-18,"August 21, 2015",Country,nan
"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson",Rotten To The Core,80,38.0,5.0,2015-09-18,"July 31, 2015","Disney,Screen,Pop",nan
Jason Derulo,Cheyenne,81,66.0,6.0,2015-09-18,"June 30, 2015","R&;B,Pop",nan
Big Sean,One Man Can Change The World,82,82.0,9.0,2015-09-18,"February 17, 2015",Rap,"Kanye West, John Legend"
Zac Brown Band,Loving You Easy,83,40.0,15.0,2015-09-18,"May 4, 2015",Country,nan
Kendrick Lamar,Alright,84,82.0,11.0,2015-09-18,"March 15, 2015","Hip-Hop,Pop,Politics,Screen,Producer,Post-Bop,Christian,Conscious Hip-Hop,Trap,West Coast,Rap",nan
Pia Mia,Do It Again,86,71.0,10.0,2015-09-18,"May 4, 2015","Pop,R&;B,Rap","Chris Brown, Tyga"
Meek Mill,R.I.C.O.,87,40.0,10.0,2015-09-18,"June 29, 2015","Gangsta Rap,Beef,Trap,Canada,East Coast,Rap",Drake
Cole Swindell,Let Me See Ya Girl,88,84.0,5.0,2015-09-18,"February 18, 2014",Country,nan
Disclosure,Omen,89,64.0,5.0,2015-09-18,"July 27, 2015","UK,Electronic,Pop",Sam Smith
The Game,100,91,90.0,5.0,2015-09-18,"June 25, 2015","Trap,Canada,West Coast,Rap",Drake
J. Cole,No Role Modelz,92,91.0,3.0,2015-09-18,"December 9, 2014","Producer,Rap",nan
Dan + Shay,Nothin' Like You,94,88.0,4.0,2015-09-18,"February 23, 2015",Country,nan
Nicki Minaj,The Night Is Still Young,98,31.0,16.0,2015-09-18,"April 12, 2015","Pop,Rap",nan
Jake Owen,Real Life,99,74.0,11.0,2015-09-18,"May 26, 2015",Country,nan
The Weeknd,Can't Feel My Face,1,1.0,2.0,2015-09-11,"June 8, 2015","Indie Pop,Soul Pop,Alternative R&;B,Nu Disco,Funk,Canada,Pop,R&;B",nan
Silento,Watch Me,3,3.0,27.0,2015-09-11,"April 27, 2015","Pop,Rap",nan
The Weeknd,The Hills,4,4.0,14.0,2015-09-11,"May 27, 2015","Trap,Alternative R&;B,Canada,Pop,R&;B",nan
Selena Gomez,Good For You,6,6.0,10.0,2015-09-11,"June 22, 2015","Rap,Pop",A$AP Rocky
Fetty Wap,679,7,7.0,9.0,2015-09-11,"June 29, 2015","R&;B,Trap,Rap",Remy Boyz
R. City,Locked Away,8,8.0,6.0,2015-09-11,"June 29, 2015","Dancehall,Reggae,R&;B,Rap,Pop",Adam Levine
Fetty Wap,Trap Queen,9,2.0,32.0,2015-09-11,"March 8, 2014","Hip-Hop,Memes,R&;B,Rap,Trap",nan
Rachel Platten,Fight Song,10,6.0,20.0,2015-09-11,"February 19, 2015","Power Pop,Pop",nan
Fetty Wap,My Way,11,7.0,8.0,2015-09-11,"November 1, 2014","Hip-Hop,Memes,R&;B,Trap,Rap",Monty
Ed Sheeran,Photograph,12,12.0,16.0,2015-09-11,"June 23, 2014","Acoustic,Folk,UK,Pop",nan
One Direction,Drag Me Down,14,3.0,4.0,2015-09-11,"July 31, 2015","Rock,Pop-Rock,Boy Band,UK,Pop",nan
Wiz Khalifa,See You Again,15,1.0,25.0,2015-09-11,"March 9, 2015","Hip-Hop,Piano,Pop,Memorial,Soundtrack,Rap",Charlie Puth
WALK THE MOON,Shut Up And Dance,16,4.0,42.0,2015-09-11,"December 2, 2014","Adult Contemporary,Pop-Rock,Adult Alternative,Electro-Pop,Alternative,Indie Pop,Indie Rock,Pop,Alternative Pop,Alternative Rock,Rock",nan
Demi Lovato,Cool For The Summer,17,16.0,9.0,2015-09-11,"July 1, 2015",Pop,nan
Taylor Swift,Bad Blood,18,1.0,18.0,2015-09-11,"May 17, 2015","Electro-Hop,Electro-Pop,Rap,Pop",Kendrick Lamar
Shawn Mendes,Stitches,20,20.0,14.0,2015-09-11,"March 15, 2015",Pop,nan
Fifth Harmony,Worth It,21,12.0,28.0,2015-09-11,"January 30, 2015","R&;B,Dance-Pop,Soundtrack,Girl Group,Rap,Pop",Kid Ink
Fall Out Boy,Uma Thurman,22,22.0,21.0,2015-09-11,"January 12, 2015","Electronic Rock,Electro-Pop,Electronic,Punk Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Pop,Rock",nan
iLoveMemphis,Hit The Quan,23,23.0,2.0,2015-09-11,"July 14, 2015",Rap,nan
Jason Derulo,Want To Want Me,24,5.0,25.0,2015-09-11,"March 9, 2015","Pop,R&;B",nan
Jidenna,Classic Man,25,22.0,17.0,2015-09-11,"February 3, 2015",R&;B,Roman GianArthur
Charlie Puth,Marvin Gaye,26,25.0,11.0,2015-09-11,"February 10, 2015",Pop,Meghan Trainor
Andy Grammer,"Honey, I'm Good.",27,9.0,27.0,2015-09-11,"August 5, 2014","Rock,Pop",nan
Sam Hunt,House Party,28,26.0,13.0,2015-09-11,"October 27, 2014",Country,nan
Drake,Hotline Bling,29,29.0,4.0,2015-09-11,"July 25, 2015","Hip-Hop,Rap,Producer,Pop,R&;B,Memes,Canada",nan
Rich Homie Quan,Flex,30,26.0,19.0,2015-09-11,"February 9, 2015",Rap,nan
Meek Mill,All Eyes On You,31,21.0,10.0,2015-09-11,"June 26, 2015","DMV,R&;B,Rap","Chris Brown, Nicki Minaj"
Omarion,Post To Be,32,13.0,34.0,2015-09-11,"November 11, 2014","DMV,West Coast,Rap,Memes,R&;B","Chris Brown, Jhene Aiko"
Maroon 5,Sugar,33,2.0,33.0,2015-09-11,"January 13, 2015","Adult Alternative,Adult Contemporary,Pop-Rock,Rock,Pop",nan
Ed Sheeran,Thinking Out Loud,34,2.0,47.0,2015-09-11,"June 23, 2014","Soul,UK,Pop",nan
David Guetta,Hey Mama,35,8.0,23.0,2015-09-11,"March 16, 2015","Pop,Electronic Trap,Electronic,Rap","Nicki Minaj, Bebe Rexha, Afrojack"
X Ambassadors,Renegades,36,36.0,20.0,2015-09-11,"March 3, 2015","Pop,Adult Contemporary,Adult Alternative,Alternative Rock,Pop-Rock,Indie Rock,Rock",nan
Fetty Wap,Again,38,33.0,3.0,2015-09-11,"August 13, 2015","Trap,R&;B,Rap",nan
Drake,Back To Back,39,21.0,4.0,2015-09-11,"July 29, 2015","Canada,Producer,Trap,Beef,Rap",nan
Thomas Rhett,Crash And Burn,40,36.0,16.0,2015-09-11,"September 25, 2015","Pop,Country",nan
Chris Janson,Buy Me A Boat,41,41.0,14.0,2015-09-11,"October 30, 2015",Country,nan
Keith Urban,"John Cougar, John Deere, John 3:16",42,42.0,12.0,2015-09-11,"June 9, 2015",Country,nan
Jeremih,Planez,44,44.0,14.0,2015-09-11,"January 27, 2015","R&;B,Rap",J. Cole
Flo Rida,"I Don't Like It, I Love It",46,43.0,10.0,2015-09-11,"March 31, 2015","Pop,Rap","Robin Thicke, Verdine White"
5 Seconds Of Summer,She's Kinda Hot,47,22.0,6.0,2015-09-11,"July 17, 2015","Australia,Pop-Rock,Pop,Punk Rock,Rock",nan
Ellie Goulding,Love Me Like You Do,48,3.0,34.0,2015-09-11,"January 7, 2015","UK,Soundtrack,Screen,Pop",nan
Rae Sremmurd,This Could Be Us,49,49.0,12.0,2015-09-11,"April 21, 2015",Rap,nan
Luke Bryan,Kick The Dust Up,50,26.0,15.0,2015-09-11,"May 19, 2015",Country,nan
Meghan Trainor,Like I'm Gonna Lose You,51,51.0,8.0,2015-09-11,"January 9, 2015",Pop,John Legend
Hailee Steinfeld,Love Myself,52,52.0,3.0,2015-09-11,"August 7, 2015","Dance-Pop,Electro-Pop,Soundtrack,Pop",nan
Luke Bryan,Strip It Down,53,53.0,4.0,2015-09-11,"July 17, 2015",Country,nan
Brett Eldredge,Lose My Mind,54,54.0,12.0,2015-09-11,"May 4, 2015",Country,nan
Dustin Lynch,Hell Of A Night,55,55.0,13.0,2015-09-11,"November 3, 2014",Country,nan
"Calvin Harris, Disciples",How Deep Is Your Love,56,56.0,6.0,2015-09-11,"July 17, 2015","Deep House,Electronic,UK,Pop",nan
Elle King,Ex's & Oh's,57,57.0,8.0,2015-09-11,"September 23, 2014","Adult Contemporary,Adult Alternative,Blues Rock,Alternative Country,Alternative Rock,Pop-Rock,Rock,Pop",nan
T,Nasty Freestyle,58,9.0,20.0,2015-09-11,"February 28, 2015","Memes,Rap",nan
Future,Where Ya At,59,59.0,6.0,2015-09-11,"July 17, 2015","Atlanta,Trap,Rap",Drake
Kenny Chesney,Save It For A Rainy Day,60,60.0,6.0,2015-09-11,"September 23, 2014",Country,nan
Alessia Cara,Here,62,62.0,4.0,2015-09-11,"April 27, 2015","Producer,Pop,R&;B",nan
Cam,Burning House,63,63.0,7.0,2015-09-11,"March 31, 2015",Country,nan
Zedd,Beautiful Now,64,64.0,12.0,2015-09-11,"May 14, 2015","House,Electronic,Pop",Jon Bellion
"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson",Rotten To The Core,66,38.0,4.0,2015-09-11,"July 31, 2015","Disney,Screen,Pop",nan
Little Mix,Black Magic,67,67.0,3.0,2015-09-11,"May 21, 2015","Dance-Pop,Girl Group,UK,Pop",nan
"Nicky Jam, Enrique Iglesias",El Perdon,68,66.0,23.0,2015-09-11,"February 6, 2015","Latin Music,Latin Pop,En Espa\xc3\xb1ol,Reggaeton,Rap",nan
K Camp,Comfortable,69,69.0,4.0,2015-09-11,"June 9, 2015",Rap,nan
Zac Brown Band,Loving You Easy,70,40.0,14.0,2015-09-11,"May 4, 2015",Country,nan
Kid Ink,Be Real,72,43.0,20.0,2015-09-11,"March 31, 2015",Rap,DeJ Loaf
Florida Georgia Line,Anything Goes,73,73.0,7.0,2015-09-11,"June 15, 2015",Country,nan
Adam Lambert,Ghost Town,74,67.0,11.0,2015-09-11,"April 21, 2015","House,Pop-Rock,Glam Rock,Rock,Electronic,Pop",nan
Tori Kelly,Should've Been Us,75,64.0,7.0,2015-09-11,"June 2, 2015","Pop,R&;B",nan
Old Dominion,Break Up With Him,76,76.0,8.0,2015-09-11,"January 1, 2015",Country,nan
"Maddie, Tae",Fly,77,67.0,7.0,2015-09-11,"June 2, 2015",Country,nan
Jason Derulo,Cheyenne,78,66.0,5.0,2015-09-11,"June 30, 2015","R&;B,Pop",nan
Meek Mill,R.I.C.O.,79,40.0,9.0,2015-09-11,"June 29, 2015","Gangsta Rap,Beef,Trap,Canada,East Coast,Rap",Drake
Pia Mia,Do It Again,82,71.0,9.0,2015-09-11,"May 4, 2015","Pop,R&;B,Rap","Chris Brown, Tyga"
Disclosure,Omen,83,64.0,4.0,2015-09-11,"July 27, 2015","UK,Electronic,Pop",Sam Smith
Cole Swindell,Let Me See Ya Girl,84,84.0,4.0,2015-09-11,"February 18, 2014",Country,nan
Michael Ray,Kiss You In The Morning,85,55.0,14.0,2015-09-11,"August 7, 2015",Country,nan
Jake Owen,Real Life,86,74.0,10.0,2015-09-11,"May 26, 2015",Country,nan
Dan + Shay,Nothin' Like You,88,88.0,3.0,2015-09-11,"February 23, 2015",Country,nan
Kendrick Lamar,Alright,89,82.0,10.0,2015-09-11,"March 15, 2015","Hip-Hop,Pop,Politics,Screen,Producer,Post-Bop,Christian,Conscious Hip-Hop,Trap,West Coast,Rap",nan
Big Sean,One Man Can Change The World,90,90.0,8.0,2015-09-11,"February 17, 2015",Rap,"Kanye West, John Legend"
J. Cole,No Role Modelz,91,91.0,2.0,2015-09-11,"December 9, 2014","Producer,Rap",nan
The Game,100,93,90.0,4.0,2015-09-11,"June 25, 2015","Trap,Canada,West Coast,Rap",Drake
Brantley Gilbert,One Hell Of An Amen,95,44.0,18.0,2015-09-11,"May 19, 2014","Country,Rock",nan
Lana Del Rey,High By The Beach,97,51.0,3.0,2015-09-11,"August 10, 2015","Psychedelic,Dream-Pop,Power Pop,Trap,Alternative Pop,Alternative,Pop",nan
The Weeknd,Can't Feel My Face,2,1.0,11.0,2015-09-04,"June 8, 2015","Indie Pop,Soul Pop,Alternative R&;B,Nu Disco,Funk,Canada,Pop,R&;B",nan
Silento,Watch Me,3,3.0,26.0,2015-09-04,"April 27, 2015","Pop,Rap",nan
The Weeknd,The Hills,5,5.0,13.0,2015-09-04,"May 27, 2015","Trap,Alternative R&;B,Canada,Pop,R&;B",nan
Selena Gomez,Good For You,6,6.0,9.0,2015-09-04,"June 22, 2015","Rap,Pop",A$AP Rocky
Rachel Platten,Fight Song,7,6.0,19.0,2015-09-04,"February 19, 2015","Power Pop,Pop",nan
Fetty Wap,679,8,8.0,8.0,2015-09-04,"June 29, 2015","R&;B,Trap,Rap",Remy Boyz
Fetty Wap,Trap Queen,9,2.0,31.0,2015-09-04,"March 8, 2014","Hip-Hop,Memes,R&;B,Rap,Trap",nan
WALK THE MOON,Shut Up And Dance,10,4.0,41.0,2015-09-04,"December 2, 2014","Adult Contemporary,Pop-Rock,Adult Alternative,Electro-Pop,Alternative,Indie Pop,Indie Rock,Pop,Alternative Pop,Alternative Rock,Rock",nan
Fetty Wap,My Way,11,7.0,7.0,2015-09-04,"November 1, 2014","Hip-Hop,Memes,R&;B,Trap,Rap",Monty
Taylor Swift,Bad Blood,12,1.0,17.0,2015-09-04,"May 17, 2015","Electro-Hop,Electro-Pop,Rap,Pop",Kendrick Lamar
Wiz Khalifa,See You Again,13,1.0,24.0,2015-09-04,"March 9, 2015","Hip-Hop,Piano,Pop,Memorial,Soundtrack,Rap",Charlie Puth
Ed Sheeran,Photograph,15,15.0,15.0,2015-09-04,"June 23, 2014","Acoustic,Folk,UK,Pop",nan
R. City,Locked Away,16,16.0,5.0,2015-09-04,"June 29, 2015","Dancehall,Reggae,R&;B,Rap,Pop",Adam Levine
Demi Lovato,Cool For The Summer,17,16.0,8.0,2015-09-04,"July 1, 2015",Pop,nan
Fifth Harmony,Worth It,19,12.0,27.0,2015-09-04,"January 30, 2015","R&;B,Dance-Pop,Soundtrack,Girl Group,Rap,Pop",Kid Ink
Jason Derulo,Want To Want Me,20,5.0,24.0,2015-09-04,"March 9, 2015","Pop,R&;B",nan
Andy Grammer,"Honey, I'm Good.",21,9.0,26.0,2015-09-04,"August 5, 2014","Rock,Pop",nan
Jidenna,Classic Man,22,22.0,16.0,2015-09-04,"February 3, 2015",R&;B,Roman GianArthur
Fall Out Boy,Uma Thurman,23,23.0,20.0,2015-09-04,"January 12, 2015","Electronic Rock,Electro-Pop,Electronic,Punk Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Pop,Rock",nan
Omarion,Post To Be,24,13.0,33.0,2015-09-04,"November 11, 2014","DMV,West Coast,Rap,Memes,R&;B","Chris Brown, Jhene Aiko"
Charlie Puth,Marvin Gaye,25,25.0,10.0,2015-09-04,"February 10, 2015",Pop,Meghan Trainor
Sam Hunt,House Party,26,26.0,12.0,2015-09-04,"October 27, 2014",Country,nan
David Guetta,Hey Mama,27,8.0,22.0,2015-09-04,"March 16, 2015","Pop,Electronic Trap,Electronic,Rap","Nicki Minaj, Bebe Rexha, Afrojack"
Rich Homie Quan,Flex,28,26.0,18.0,2015-09-04,"February 9, 2015",Rap,nan
Maroon 5,Sugar,29,2.0,32.0,2015-09-04,"January 13, 2015","Adult Alternative,Adult Contemporary,Pop-Rock,Rock,Pop",nan
Ed Sheeran,Thinking Out Loud,30,2.0,46.0,2015-09-04,"June 23, 2014","Soul,UK,Pop",nan
One Direction,Drag Me Down,31,3.0,3.0,2015-09-04,"July 31, 2015","Rock,Pop-Rock,Boy Band,UK,Pop",nan
Shawn Mendes,Stitches,32,32.0,13.0,2015-09-04,"March 15, 2015",Pop,nan
Drake,Hotline Bling,34,34.0,3.0,2015-09-04,"July 25, 2015","Hip-Hop,Rap,Producer,Pop,R&;B,Memes,Canada",nan
Drake,Back To Back,35,21.0,3.0,2015-09-04,"July 29, 2015","Canada,Producer,Trap,Beef,Rap",nan
Thomas Rhett,Crash And Burn,36,36.0,15.0,2015-09-04,"September 25, 2015","Pop,Country",nan
X Ambassadors,Renegades,37,37.0,19.0,2015-09-04,"March 3, 2015","Pop,Adult Contemporary,Adult Alternative,Alternative Rock,Pop-Rock,Indie Rock,Rock",nan
Luke Bryan,Kick The Dust Up,39,26.0,14.0,2015-09-04,"May 19, 2015",Country,nan
Fetty Wap,Again,40,33.0,2.0,2015-09-04,"August 13, 2015","Trap,R&;B,Rap",nan
5 Seconds Of Summer,She's Kinda Hot,42,22.0,5.0,2015-09-04,"July 17, 2015","Australia,Pop-Rock,Pop,Punk Rock,Rock",nan
Flo Rida,"I Don't Like It, I Love It",43,43.0,9.0,2015-09-04,"March 31, 2015","Pop,Rap","Robin Thicke, Verdine White"
Chris Janson,Buy Me A Boat,44,44.0,13.0,2015-09-04,"October 30, 2015",Country,nan
Ellie Goulding,Love Me Like You Do,46,3.0,33.0,2015-09-04,"January 7, 2015","UK,Soundtrack,Screen,Pop",nan
Meek Mill,All Eyes On You,47,21.0,9.0,2015-09-04,"June 26, 2015","DMV,R&;B,Rap","Chris Brown, Nicki Minaj"
Keith Urban,"John Cougar, John Deere, John 3:16",48,48.0,11.0,2015-09-04,"June 9, 2015",Country,nan
Tove Lo,Talking Body,49,12.0,30.0,2015-09-04,"January 13, 2015","Electro-Pop,Synth-Pop,Pop",nan
Jeremih,Planez,51,51.0,13.0,2015-09-04,"January 27, 2015","R&;B,Rap",J. Cole
T,Nasty Freestyle,52,9.0,19.0,2015-09-04,"February 28, 2015","Memes,Rap",nan
Rae Sremmurd,This Could Be Us,53,52.0,11.0,2015-09-04,"April 21, 2015",Rap,nan
Eric Church,Like A Wrecking Ball,54,51.0,22.0,2015-09-04,"March 9, 2015",Country,nan
Zac Brown Band,Loving You Easy,55,40.0,13.0,2015-09-04,"May 4, 2015",Country,nan
Meghan Trainor,Like I'm Gonna Lose You,57,57.0,7.0,2015-09-04,"January 9, 2015",Pop,John Legend
Brett Eldredge,Lose My Mind,58,58.0,11.0,2015-09-04,"May 4, 2015",Country,nan
Dustin Lynch,Hell Of A Night,59,56.0,12.0,2015-09-04,"November 3, 2014",Country,nan
"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson",Rotten To The Core,60,38.0,3.0,2015-09-04,"July 31, 2015","Disney,Screen,Pop",nan
"Calvin Harris, Disciples",How Deep Is Your Love,61,60.0,5.0,2015-09-04,"July 17, 2015","Deep House,Electronic,UK,Pop",nan
Luke Bryan,Strip It Down,62,62.0,3.0,2015-09-04,"July 17, 2015",Country,nan
Kid Ink,Be Real,63,43.0,19.0,2015-09-04,"March 31, 2015",Rap,DeJ Loaf
Tori Kelly,Should've Been Us,64,64.0,6.0,2015-09-04,"June 2, 2015","Pop,R&;B",nan
Lana Del Rey,High By The Beach,65,51.0,2.0,2015-09-04,"August 10, 2015","Psychedelic,Dream-Pop,Power Pop,Trap,Alternative Pop,Alternative,Pop",nan
Zedd,Beautiful Now,66,66.0,11.0,2015-09-04,"May 14, 2015","House,Electronic,Pop",Jon Bellion
Elle King,Ex's & Oh's,67,67.0,7.0,2015-09-04,"September 23, 2014","Adult Contemporary,Adult Alternative,Blues Rock,Alternative Country,Alternative Rock,Pop-Rock,Rock,Pop",nan
Little Mix,Black Magic,68,68.0,2.0,2015-09-04,"May 21, 2015","Dance-Pop,Girl Group,UK,Pop",nan
Kenny Chesney,Save It For A Rainy Day,69,69.0,5.0,2015-09-04,"September 23, 2014",Country,nan
Cam,Burning House,70,65.0,6.0,2015-09-04,"March 31, 2015",Country,nan
K Camp,Comfortable,71,71.0,3.0,2015-09-04,"June 9, 2015",Rap,nan
"Nicky Jam, Enrique Iglesias",El Perdon,72,66.0,22.0,2015-09-04,"February 6, 2015","Latin Music,Latin Pop,En Espa\xc3\xb1ol,Reggaeton,Rap",nan
Jason Derulo,Cheyenne,73,66.0,4.0,2015-09-04,"June 30, 2015","R&;B,Pop",nan
Hailee Steinfeld,Love Myself,74,74.0,2.0,2015-09-04,"August 7, 2015","Dance-Pop,Electro-Pop,Soundtrack,Pop",nan
"Maddie, Tae",Fly,75,67.0,6.0,2015-09-04,"June 2, 2015",Country,nan
Michael Ray,Kiss You In The Morning,76,55.0,13.0,2015-09-04,"August 7, 2015",Country,nan
Adam Lambert,Ghost Town,77,67.0,10.0,2015-09-04,"April 21, 2015","House,Pop-Rock,Glam Rock,Rock,Electronic,Pop",nan
Florida Georgia Line,Anything Goes,78,76.0,6.0,2015-09-04,"June 15, 2015",Country,nan
Alessia Cara,Here,79,79.0,3.0,2015-09-04,"April 27, 2015","Producer,Pop,R&;B",nan
Meek Mill,R.I.C.O.,80,40.0,8.0,2015-09-04,"June 29, 2015","Gangsta Rap,Beef,Trap,Canada,East Coast,Rap",Drake
Old Dominion,Break Up With Him,81,80.0,7.0,2015-09-04,"January 1, 2015",Country,nan
Disclosure,Omen,83,64.0,3.0,2015-09-04,"July 27, 2015","UK,Electronic,Pop",Sam Smith
Future,Where Ya At,85,68.0,5.0,2015-09-04,"July 17, 2015","Atlanta,Trap,Rap",Drake
Pia Mia,Do It Again,87,71.0,8.0,2015-09-04,"May 4, 2015","Pop,R&;B,Rap","Chris Brown, Tyga"
Jake Owen,Real Life,88,74.0,9.0,2015-09-04,"May 26, 2015",Country,nan
