,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
74,"Off My Face","Justin Bieber",1240408,https://open.spotify.com/track/3T03rPwlL8NVk1yIaxeD8U
75,"At My Worst","Pink Sweat$",1221202,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
76,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",1195546,https://open.spotify.com/track/6cQ08IpBxxfGcSKxqE3NmB
77,"lovely (with Khalid)","Billie Eilish",1187134,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
78,Circles,"Post Malone",1183476,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
79,Heather,"Conan Gray",1179239,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
80,LOCATION,"KAROL G",1174218,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
81,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1169946,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
82,BED,"Joel Corry",1153409,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
83,"La Nota","Manuel Turizo",1139361,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
84,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",1138861,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
85,"Machu Picchu",Camilo,1138148,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
86,"No Te Enamores - Remix",Milly,1133014,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
87,"Adore You","Harry Styles",1129094,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
88,"Follow You","Imagine Dragons",1123976,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
89,Goosebumps,HVME,1119096,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
