Player,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Megan Walker,NYL,F,18,0,205,25,78,.321,6,43,.140,19,35,.543,.359,3,5,.600,11,27,6,4,0,7,15,59
Shatori Walker-Kimbrough,PHO,G,21,10,400,54,126,.429,22,51,.431,32,75,.427,.516,23,25,.920,6,34,32,23,8,21,24,153
Avery Warley-Talbert,LVA,C,3,0,24,3,7,.429,0,0,,3,7,.429,.429,2,3,.667,5,8,3,0,0,2,6,8
Sami Whitcomb,SEA,G,22,0,363,62,140,.443,32,84,.381,30,56,.536,.557,22,22,1.000,4,50,44,16,3,22,31,178
Sydney Wiese,LAS,G,19,15,363,47,93,.505,25,53,.472,22,40,.550,.640,11,12,.917,5,33,22,11,2,22,17,130
Courtney Williams,ATL,G,20,14,615,134,307,.436,8,34,.235,126,273,.462,.450,16,23,.696,37,143,63,13,2,54,39,292
Elizabeth Williams,ATL,C-F,22,22,647,87,178,.489,0,0,,87,178,.489,.489,49,66,.742,49,125,31,17,30,25,57,223
Gabby Williams,CHI,F,22,4,546,67,158,.424,20,70,.286,47,88,.534,.487,16,25,.640,20,88,44,29,5,37,32,170
Riquna Williams,LAS,G,21,4,444,81,186,.435,43,102,.422,38,84,.452,.551,16,18,.889,3,38,31,24,7,19,41,221
Jocelyn Willoughby,NYL,F-G,22,5,383,39,109,.358,15,37,.405,24,72,.333,.427,35,42,.833,15,53,20,15,6,32,50,128
A'ja Wilson,LVA,F,22,22,697,166,346,.480,0,0,,166,346,.480,.480,118,151,.781,34,188,45,27,44,35,49,450
Jackie Young,LVA,G,22,0,568,93,189,.492,3,13,.231,90,176,.511,.500,52,61,.852,18,95,67,15,2,35,39,241
Amanda Zahui B.,NYL,C,21,20,531,65,184,.353,34,100,.340,31,84,.369,.446,25,36,.694,15,178,40,19,26,54,65,189
